5_8S_rRNA.apsi-50.sci-67.no-1.raw.fa.rnafold	-46.9
5_8S_rRNA.apsi-52.sci-72.no-1.raw.fa.rnafold	-38
5_8S_rRNA.apsi-55.sci-72.no-1.raw.fa.rnafold	-52.9
5_8S_rRNA.apsi-56.sci-71.no-1.raw.fa.rnafold	-43.5
5_8S_rRNA.apsi-57.sci-67.no-1.raw.fa.rnafold	-39.6
5_8S_rRNA.apsi-57.sci-76.no-1.raw.fa.rnafold	-53.55
5_8S_rRNA.apsi-59.sci-66.no-1.raw.fa.rnafold	-39.25
5_8S_rRNA.apsi-59.sci-71.no-1.raw.fa.rnafold	-44.25
5_8S_rRNA.apsi-59.sci-74.no-1.raw.fa.rnafold	-37.4
5_8S_rRNA.apsi-61.sci-73.no-1.raw.fa.rnafold	-52.15
5_8S_rRNA.apsi-61.sci-82.no-1.raw.fa.rnafold	-52.4
5_8S_rRNA.apsi-61.sci-90.no-1.raw.fa.rnafold	-44.7
5_8S_rRNA.apsi-62.sci-67.no-1.raw.fa.rnafold	-35.65
5_8S_rRNA.apsi-62.sci-76.no-1.raw.fa.rnafold	-50.25
5_8S_rRNA.apsi-64.sci-66.no-1.raw.fa.rnafold	-46.25
5_8S_rRNA.apsi-64.sci-70.no-1.raw.fa.rnafold	-41.6
5_8S_rRNA.apsi-64.sci-77.no-1.raw.fa.rnafold	-51.1
5_8S_rRNA.apsi-64.sci-83.no-1.raw.fa.rnafold	-39.55
5_8S_rRNA.apsi-65.sci-69.no-1.raw.fa.rnafold	-43.25
5_8S_rRNA.apsi-66.sci-71.no-1.raw.fa.rnafold	-43.3
5_8S_rRNA.apsi-66.sci-74.no-1.raw.fa.rnafold	-54.1
5_8S_rRNA.apsi-67.sci-77.no-1.raw.fa.rnafold	-33.35
5_8S_rRNA.apsi-67.sci-81.no-1.raw.fa.rnafold	-51.6
5_8S_rRNA.apsi-69.sci-76.no-1.raw.fa.rnafold	-42.95
5_8S_rRNA.apsi-69.sci-76.no-2.raw.fa.rnafold	-43.85
5_8S_rRNA.apsi-69.sci-77.no-1.raw.fa.rnafold	-40.6
5_8S_rRNA.apsi-70.sci-82.no-1.raw.fa.rnafold	-36.8
5_8S_rRNA.apsi-70.sci-82.no-2.raw.fa.rnafold	-48.75
5_8S_rRNA.apsi-70.sci-83.no-1.raw.fa.rnafold	-50.65
5_8S_rRNA.apsi-71.sci-75.no-1.raw.fa.rnafold	-46.65
5_8S_rRNA.apsi-71.sci-78.no-1.raw.fa.rnafold	-40.75
5_8S_rRNA.apsi-71.sci-81.no-1.raw.fa.rnafold	-37.5
5_8S_rRNA.apsi-71.sci-84.no-1.raw.fa.rnafold	-57.45
5_8S_rRNA.apsi-71.sci-88.no-1.raw.fa.rnafold	-40.8
5_8S_rRNA.apsi-72.sci-89.no-1.raw.fa.rnafold	-41.05
5_8S_rRNA.apsi-73.sci-86.no-1.raw.fa.rnafold	-43.85
5_8S_rRNA.apsi-74.sci-72.no-1.raw.fa.rnafold	-40.4
5_8S_rRNA.apsi-74.sci-88.no-1.raw.fa.rnafold	-37.6
5_8S_rRNA.apsi-75.sci-82.no-1.raw.fa.rnafold	-43.45
5_8S_rRNA.apsi-75.sci-89.no-1.raw.fa.rnafold	-45.1
5_8S_rRNA.apsi-75.sci-90.no-1.raw.fa.rnafold	-41.75
5_8S_rRNA.apsi-76.sci-86.no-1.raw.fa.rnafold	-45.25
5_8S_rRNA.apsi-77.sci-79.no-1.raw.fa.rnafold	-40
5_8S_rRNA.apsi-77.sci-81.no-1.raw.fa.rnafold	-40.95
5_8S_rRNA.apsi-77.sci-88.no-1.raw.fa.rnafold	-41.15
5_8S_rRNA.apsi-77.sci-92.no-1.raw.fa.rnafold	-39.05
5_8S_rRNA.apsi-77.sci-93.no-1.raw.fa.rnafold	-46.6
5_8S_rRNA.apsi-78.sci-83.no-1.raw.fa.rnafold	-42.6
5_8S_rRNA.apsi-79.sci-95.no-1.raw.fa.rnafold	-42.15
5_8S_rRNA.apsi-80.sci-75.no-1.raw.fa.rnafold	-42.2
